sentence_no,text
1," Another world, another world, another world called! Come on, come on! Let's go, let's go!"
2," Trampling the word, singing the word, roaring the heart- let's go, hear not the falls of another world?"
3,"Go forward with your heart beating all the way! Walk the paths, cross the forts, cross all the forts! Rivers, forests, hills, deserts are our barriers?"
4," Advance! Advance! Let's go, let's go, up! You bone-crunched, aged sloths! Die! Bloody, mighty, soldiers! Come on! Harom! Harom Hara! Hara! Hara! Hara! Hara! Haro Hara! Move! The other world, the great world is full of Dharitri! Go forth, go forward! Scream like a thunderbolt! Spread with the speed of emotion! Break forth like the sound of a flood of raindrops! Go forth, go forth, go forth! Can't you see the fire of another world's particle?"
5,"Flying, flying, flying eighty lakhs of Meru! Back and forth, back and forth dancing the flood of water! Is it the water of the sea? Is it the heat of blood! The sea of Shiva, roar like Niagara! Forward! Forward! Forward forward! Forward forward! Forward forward! Forward the bronze city of another world. rang out!"
6,"Go forth like the stars, like the stars, like the riches! See not the other world's crowns of fire, bright red, bright flames?"
7,"Another world, another world, another world called! Come on, come on! Let's go, let's go!"
8,"Tramping the word, singing the word, roaring the heart- let's go, can't you hear the falls of another world?"
9,"Go forward with your heart beating all the way! Walk the paths, cross the forts, cross all the forts! Rivers, forests, hills, deserts are our barrier?"
10,"Forward! Forth! Let's go, let's go, up! You bone-crunched, aging sloths! Die! Bloody, mighty, soldiers! Come on! Harom! Harom Hara! Hara! Hara! Hara! Hara! Haro Hara! Move! The other world, the great world is full of Dharitri! Go forth, go forward! Scream like a thunderbolt! Spread with the speed of emotion! Break forth like the sound of a flood of raindrops! Go forth, go forth, go forth! Can't you see the fire of another world's particle?"
11,"Flying, flying, flying eighty lakhs of Meru! Back and forth, back and forth are dancing the flood of the ocean! Is it the churning oil? Isn't it the warm blood! The Shiva ocean, roar like Niagara! Rush forward! Forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! Forward forward! rang out!"
12,"Go forth like scorpions, like scorpions, like an ox! See not the other world's crowns of fire, bright as red, and bright as flames?"
13,"I too pressed the fire of the world and smothered it! I too shed a tear for the cosmic rain! I too gave a mad voice to the roar of the earth!"
14,"Don't you fly like a bat when the sun burns!"
15,"When the rainy season comes, does not the water flow vertically? When the cold season is cut, the whip is cut, and the hunger cries!"
16,"If I stand still - moonshine, clouds of rain, snows will melt on the earth!"
17,"Let all the colored drops that hang from the sky fall, and explode in blood!"
18,"All the cracks are broken, the ice is scattered, the great deluge will boast over the whole world!"
19,"My womb is filled with dhatri, and the sikharas of my vulva are like that moment when the whole world will be showered!"
20,"I, too, will sing the white ray of the world! I, too, will make the universe faint like a tantrum! I, too, will rise up like the well of an earthly building!"
21,"I too pressed the fire of the world and smothered it! I too shed a tear for the cosmic rain! I also gave a mad voice to Bhuvana Ghosha and roared!"
22,"Don't you fly like a bat when the sun burns!"
23,"When the rainy season comes, there is no vertical water? When the cold season cuts, the whip is cut, and the hunger cries!"
24,"If I stand still - moonshine, rain clouds and snow will melt on the earth!"
25,"Let all the colored drops that hang from the sky fall and explode in blood!"
26,"All the days are broken, the ice is gone, the great deluge will boast over the whole world!"
27,"My neck is filled with dhatri, the sikharas of my vulva are like that moment when the whole world will be showered!"
28,"I, too, will sing the white ray of the world! I, too, will taunt the universe! I, too, will rise up like the well of an earthly building!"
29,"Filled the sky, filled with smoke - Panchami jyotsna frighten me!"
30,"Through the skies, yonder! This storm of sand has raged!"
31 ,"Inscrutable ghosts in the air swim among the earth's giants!"
