sentence_no,text
1,"Another world, another world, another world has called! March forward, march onward! Let's go, let's go upward!"
2,"Stepping rhythmically, singing verses, heart thundering - march on, let's go, don't you hear the waterfalls of another world?"
3,"Quenching the heart's thirst along the way, march forward! Traversing paths, crossing villages, overcome all forts! What are the rivers, forests, mountains to our determination?"
4,"March forward! March onward! Let's go, let's go upward! You elders with bent bones and aged bodies! Die! You soldiers with burning courage and power galore! Come! Harom! Harom Har! Har! Har! Har! Har! Harom Hara! Move forth! Another world, the supreme world is filled all over the earth! March forward, march onward! Rise up like a storm! Spread with the speed of thoughts! Roar like the thunderous clouds of the deluge! Fall pell-mell! March, march, march forward! Don't you see the blazing flames of another world?"
5,"Erupting, erupting, erupting rise sixty million volcanoes! Whirling, whirling, whirling the oceans dance the deluge dance! Is this the roaring sea? No, this is the warm blood flow! The ocean of consciousness too, like Niagara, gush forth! Gush forth forward! March forward! March onward! The fiery sphere of another world is raging unabated!"
6,"Advance like arrows, advance like meteors, like Arjuna the conqueror of wealth! Don't you see the flaming crown of another world, the smouldering embers, the flickering sacred fires?"
7,"Another world, another world, another world has called! March forward, march onward! Let's go, let's go upward!" 
8,"Stepping rhythmically, singing verses, heart thundering - march on, let's go, don't you hear the waterfalls of another world?"
9,"Quenching the heart's thirst along the way, march forward! Traversing paths, crossing villages, overcome all forts! What are the rivers, forests, mountains to our determination?"
10,"March forward! March onward! Let's go, let's go upward! You elders with bent bones and aged bodies! Die! You soldiers with burning courage and power galore! Come! Harom! Harom Har! Har! Har! Har! Har! Harom Hara! Move forth! Another world, the supreme world is filled all over the earth! March forward, march onward! Rise up like a storm! Spread with the speed of thoughts! Roar like the thunderous clouds of the deluge! Fall pell-mell! March, march, march forward! Don't you see the blazing flames of another world?"
11,"Erupting, erupting, erupting rise sixty million volcanoes! Whirling, whirling, whirling the oceans dance the deluge dance! Is this the roaring sea? No, this is the warm blood flow! The ocean of consciousness too, like Niagara, gush forth! Gush forth forward! March forward! March onward! The fiery sphere of another world is raging unabated!"
12,"Advance like arrows, advance like meteors, like Arjuna the conqueror of wealth! Don't you see the flaming crown of another world, the smouldering embers, the flickering sacred fires?"
13,"I too have offered a piece of firewood to the world's fire! I too have shed a tear to the cosmic rain! I too have lent my strident voice to the universal roar!"
14,"Didn't I pant like a fanning bellows when summer blazed?"  
15,"Didn't I flow down in streams when the rains poured? Didn't I cry out in hunger when winter chilled?"
16,"If I stood still - the moon's brilliance, rain showers, snow flakes would fall scattered on the earth!"
17,"All the colourful wonders I see with blinking eyes would crumble to dust as passions blaze!"
18,"All days would fade, all nights would decay, and a great destruction would engulf the world!"
19,"If I fill myself in the cosmic womb, those moments when my whirlpools make the world drift would arrive!"
20,"I too shall blossom as a white petal of the world's lotus! I too shall compose tunes on the cosmic lyre! I too shall rise as the flame atop the world's abode!"  
21,"I too have offered a piece of firewood to the world's fire! I too have shed a tear to the cosmic rain! I too have lent my strident voice to the universal roar!"
22,"Didn't I pant like a fanning bellows when summer blazed?"
23,"Didn't I flow down in streams when the rains poured? Didn't I cry out in hunger when winter chilled?"  
24,"If I stood still - the moon's brilliance, rain showers, snow flakes would fall scattered on the earth!"
25,"All the colourful wonders I see with blinking eyes would crumble to dust as passions blaze!"
26,"All days would fade, all nights would decay, and a great destruction would engulf the world!"
27,"If I fill myself in the cosmic womb, those moments when my whirlpools make the world drift would arrive!"
28,"I too shall blossom as a white petal of the world's lotus! I too shall compose tunes on the cosmic lyre! I too shall rise as the flame atop the world's abode!"
29,"Fill the entire sky, spread like smoke - may the manifold divine lights frighten me!"
30,"Across the horizon's edge, a sandstorm rages! This line of dust has risen!"
31,"In the air, unseen whirlwinds are swirling between the earth and heavens!"
32,"Roar forth, oh ocean of flames! The mountain moves like a massive chariot!" 
33,"In the horizon of the sky, the meteor is left alone like an abandoned wayfarer!"
34,"Filling the entire universe like a white jasmine - may the manifold divine lights frighten me!"
35,"Filling the entire sky, spreading like smoke - may the manifold divine lights frighten me!"
36,"Across the horizon's edge, a sandstorm rages! This line of dust has risen!"
37,"In the air, unseen whirlwinds are swirling between the earth and heavens!"
38,"Roar forth, oh ocean of flames! The mountain moves like a massive chariot!"
39,"In the horizon of the sky, the meteor is left alone like an abandoned wayfarer!" 
40,"Filling the entire universe like a white jasmine - may the manifold divine lights frighten me!"
41,"In cities, in villages, in open fields, in mountain caves, in deserts, in oceans, by forests, by ravines, the whole world reverberates"
42,"There is no one in the room, the room is filled with silence. It is six-thirty in the evening, the room is dark like ants."
43,"The room is gazing blankly with sightless eyes, like one of the hollows in the broken skulls of skeletons."
44,"Inside the room, there are some phantoms. A speck of dust that appeared far away on the window is scattering its twinkling glances and mesmerizing the room with its glamour."
45,"An ill-fated soul breathed his last in that very room at six-thirty in the morning."
46,"His lamp is flickering in that room. Drinking the stillness, it is gazing in many directions. In the dark alcove, it stands like a lion."
47,"On the blade of the dagger, it is like a drop of perspiration. Standing in the stillness, the lamp is looking in many directions."
48,"Suddenly, that lamp saw a star in the sky. It cried out like a she-demon. (Cries that would pierce your ears and mine) The star showered its affectionate glances. The poor lamp grew weary. The star sang its inviting song. The lamp went out. It transformed into a star."
49,"There is no one in the room, the room is filled with silence. It is six-thirty in the evening, the room is dark like ants."  
