Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"Sanjaya said: To him who was thus overwhelmed with compassion, whose eyes were filled with tears and agitated, Madhusudana (Krishna) spoke these words.",0,0,0,0,0,0,1,0,0,0
"The Blessed Lord said: From where has this dejection come upon you at this critical moment, Arjuna? It is not befitting an honorable person, nor does it lead to heaven; it brings infamy.",0,0,1,0,0,1,0,0,0,0
"Do not yield to unmanliness, O Partha, it does not befit you. Cast off this base faint-heartedness and arise, O scorcher of foes.",1,0,1,0,0,1,0,0,0,0
"Arjuna said: How can I, O Madhusudana, counterattack with arrows in battle against Bhishma and Drona, who are worthy of my worship, O destroyer of enemies?",0,0,1,0,0,0,1,0,0,0
"It is better to live in this world by begging than to kill the great-souled teachers. But if I kill my teachers, even in this world, all my enjoyments will be tainted with blood.",0,0,0,0,0,0,1,0,0,0
"We do not know which is better for us: whether we should conquer them or they should conquer us. Those very sons of Dhritarashtra, after slaying whom we do not wish to live, stand before us in battle.",0,0,0,1,0,0,1,0,0,0
"Overcome by the flaw of cowardice and confused in mind about my duty, I ask you for guidance. Tell me clearly what is best for me. I am your disciple, surrendered to you; please instruct me.",0,0,0,1,0,1,0,0,0,0
"I do not see anything that would remove my grief which is drying up my senses, even if I were to obtain a prosperous kingdom on earth without rivals or even sovereignty over the gods.",0,0,1,0,0,1,0,0,0,0
"Sanjaya said: Having spoken thus to Hrishikesha, Gudakesha, the scorcher of foes, declared to Govinda, ""I will not fight,"" and became silent.",0,0,0,1,0,0,1,0,0,0
"Hrishikesha, smiling as it were, spoke these words to the despondent one, O Bharata, in the midst of the two armies.",0,0,0,1,0,0,1,0,0,0
"The Blessed Lord said: You grieve for those who should not be grieved for, yet speak words of wisdom. The wise do not mourn for the living or the dead.",0,0,1,0,0,0,0,0,0,0
"Never was there a time when I did not exist, nor you, nor all these kings; nor in the future shall any of us cease to be.",0,0,0,1,0,1,0,0,0,0
"Just as the embodied soul passes, in this body, from childhood to youth to old age, so also does it pass into another body; the wise are not deluded by this.",1,0,0,1,0,1,0,0,0,0
"The contacts of the senses, O son of Kunti, which give rise to cold and heat, pleasure and pain, are transitory; they come and go. Endure them, O Bharata.",1,0,1,1,0,1,0,0,0,0
"The person whom these do not distress, O best among men, who is the same in pleasure and pain, who is steadfast, is fit for immortality.",1,0,1,0,0,0,0,0,0,0
The unreal has no being; there is no non-being of the real. The seers of truth have concluded the distinction between these two.,0,0,0,1,0,0,0,0,0,0
Know that to be indestructible by which all this is pervaded. No one can bring about the destruction of this imperishable.,0,0,0,1,0,1,1,0,0,0
"These bodies are perishable, but the embodied soul is eternal, indestructible, and immeasurable. Therefore, O Bharata, fight.",1,0,1,0,0,0,0,0,0,0
"He who thinks that the soul kills, and he who thinks of it as killed, are both ignorant. The soul kills not, nor is it killed.",0,0,0,1,0,0,1,0,0,0
"It is never born, nor does it ever die; nor, having once existed, does it ever cease to be. Unborn, eternal, ever-existing, and primeval, it is not slain when the body is slain.",0,0,0,1,0,0,0,0,0,0
