Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
"Arjuna said: ""O mighty-armed one, O Hrishikesha, O slayer of Keshi, I wish to know the true nature of renunciation (sannyāsa) and the true nature of relinquishment (tyāga)."" 











",0,0,1,0,0,0,0,0,0,0
"""The wise say that the relinquishment of actions driven by desire is called sannyāsa (renunciation). The wise say that the relinquishment of the fruits of all actions is called tyāga (relinquishment)."" 





 




",0,0,0,0,0,0,1,0,0,0
"""Some wise people say actions that are tainted with defects should be renounced. Others say that actions of sacrifice, charity, and austerity should not be renounced."" 





 




",0,0,0,0,0,0,1,0,0,0
"“O best of the Bharatas, O tiger among men, hear from me about the settled conclusion on relinquishment. Relinquishment is of three kinds, as I will now describe.” 




 






",1,0,0,0,0,0,0,0,0,0
"""Actions of sacrifice, charity, and austerity should not be renounced; they are to be performed. Sacrifice, charity, and austerity are purifying for the wise."" 





 






",1,0,1,0,0,0,0,0,0,0
"""But these actions (sacrifice, charity, and austerity) should be performed, O Partha, renouncing attachment and the fruits of action. This is My settled conclusion, the best way."" 





 






",1,0,0,0,0,0,0,0,0,0
"""But the renunciation of actions that are prescribed is not proper. The relinquishment of prescribed actions out of delusion is considered to be in the mode of ignorance."" 





 






",0,0,0,0,0,0,1,0,0,0
"“He who renounces an action out of fear of bodily pain or suffering, performs a rajasic renunciation, and he does not receive the fruits of renunciation.” 





 








",0,0,0,1,0,0,1,0,0,0
"“O Arjuna,  action that is prescribed by the scriptures should be performed,  giving up attachment and the fruits of action. This renunciation is considered sattvic."" 





 






",1,0,1,0,0,0,1,0,0,0
"""He who neither hates evil nor desires good, the renounced one, who is established in sattva, who is intelligent, and whose doubts are dispelled."" 


 




",1,0,0,0,0,0,1,0,0,0
"“No one who is embodied can give up all actions completely. But he who renounces the fruits of action is called a renunciant.” 







",0,0,0,1,0,0,1,0,0,0
"""For those who renounce, the fruits of action, whether unpleasant, pleasant, or mixed, are experienced after death, but never for those who have renounced."" 





 






",1,0,0,1,0,0,0,0,0,0
"""O mighty-armed one, now hear from Me the five causes that are described in the Sankhya philosophy for the success of all actions.” 




 


",1,0,0,0,0,0,0,0,0,0
"""The field of action, the doer, the instruments, diverse kinds of effort, and destiny, these five are the causes.""  









",0,0,0,1,0,0,1,0,0,0
"""Whatever action a person undertakes with his body,  speech, and mind, whether right or wrong, these five are the causes of that action."" 




 






",0,0,0,0,0,0,1,0,0,0
"""When this is the case, he who, due to his foolish understanding, sees only the self as the doer, he does not see truly.  He is deluded."" 





 






",0,0,0,1,0,1,0,0,0,0
"“For one who is not in the mode of ego, whose intelligence is not stained,  even if he slays these worlds, he does not slay, nor is he bound.” 




 




",0,0,0,1,0,0,1,0,0,0
"""Knowing, the object of knowledge, and the knower of the object of knowledge - these three are the prompts to action. The instruments, action, and the actor - these three constitute the aggregate of action."" 





 








",1,0,0,0,0,0,1,0,0,0
"""Knowledge, action, and the actor, according to the differences in the qualities, are described as follows.  Hear about these qualities as they are."" 



 


",0,0,0,1,0,0,0,0,0,0
"""That knowledge by which one sees the one, imperishable essence in all beings, the undivided in the divided, that knowledge is considered to be sattvic."" 





 






",1,0,0,0,0,0,0,0,0,0
"“But that knowledge by which one sees, in all beings, the different essences and diverse forms, that knowledge is considered to be rajasic."" 












",0,0,0,1,0,0,1,0,0,0
"""And that knowledge which is attached to one particular action, which is motivated by false reasoning, and which is not based on truth, that knowledge is called tamasic.” 





 






",0,0,0,1,0,0,1,0,0,0
"""Action that is performed in a fixed way, without attachment, without desire and aversion, and without seeking results, is called sattvic."" 





 








",0,0,0,1,0,0,1,0,0,0
