slokas_no,slokas,slokas_translated
1,सञ्जय उवाचतं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् ।विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ॥ १ ॥,"Sanjaya said: Seeing Arjuna full of compassion and very sorrowful, Madhusudana spoke the following words."
2,श्री भगवानुवाचकुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् ।अनार्यजुष्टमस्वर्ग्यकीर्तिकरमर्जुन ॥ २ ॥,"The Supreme Personality of Godhead said: My dear Arjuna, how have these impurities come upon you? They are not at all befitting a man who knows the value of life. They lead not to higher planets but to infamy."
3,क्ल‍ैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते ।क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ॥ ३ ॥,"Do not yield to unmanliness, O Partha. It does not befit you. Shake off this petty faintheartedness and arise, O scorcher of foes."
4,अर्जुन उवाचकथं भीष्ममहं संख्ये द्रोणं च मधुसूदन ।इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन ॥ ४ ॥,"Arjuna said: O Madhusudana, O killer of enemies, how can I counterattack with arrows in battle men like Bhisma and Drona, who are worthy of my worship?"
5,गुरूनहत्वा हि महानुभावान्श्रेयो भोक्तुं भैक्ष्यमपीह लोके ।हत्वार्थकामांस्तु गुरूनिहैवभुज्ज‍ीय भोगान्‍रुधिरप्रदिग्धान् ॥ ५ ॥,"Not killing the great souls, one should desire to enjoy the kingdom, even if it is obtained by begging. After killing one's teachers, elders, friends, brothers, and sons, one enjoys their wealth as if it were blood money."
6,न चैतद्विद्मः कतरन्नो गरीयोयद्वा जयेम यदि वा नो जयेयुः ।यानेव हत्वा न जिजीविषाम-स्तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः ॥ ६ ॥,"We do not know which is better, that we should conquer them or they should conquer us. Those by killing whom we do not wish to live, are standing before us in battle array."
7,कार्पण्यदोषोपहतस्वभावःपृच्छामि त्वां धर्मसम्मूढचेताः ।यच्छ्रेयः स्यान्निश्‍चितं ब्रूहि तन्मेशिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् ॥ ७ ॥,"Due to my nature overpowered by the fault of cowardice, with a mind confused about duty, I ask You to tell me decisively what is best for me. Now I am Your disciple, and a soul surrendered unto You. Please instruct me."
8,न हि प्रपश्यामि ममापनुद्याद् -यच्छोकमुच्छोषणमिन्द्रियाणाम् ।अवाप्य भूभावसपत्‍नमृद्धंराज्यं सुराणामपि चाधिपत्यम् ॥ ८ ॥,"I do not see how any wealth can remove the grief that dries up my senses. Even if I were to attain unrivaled and prosperous sovereignty over the entire earth, or lordship over the gods."
9,सञ्जय उवाचएवमुक्त्वा हृषीकेशं गुडाकेशः परन्तपः ।न योत्स्य इति गोविन्दामुक्त्वा तूष्णीं बभूव ह ॥ ९ ॥,"Sanjaya said: Having spoken thus to Hrishikesha, Gudakesha, the mighty one, said, ""I will not fight,"" and fell silent."
10,तमुवाच हृषीकेशः प्रहसन्निव भारत ।सेनयोरूभयोर्मध्ये विषीदन्तमिदं वचः ॥ १० ॥,"Hrishikesha said, smiling, O Bharata, unto him thus grieving betwixt the two armies."
11,श्री भगवानुवाचअशोच्यनन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे ।गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः ॥ ११ ॥,"The Blessed Lord said: While you speak words of wisdom, you are mourning for that which is not worthy of grief. The wise grieve neither for the living nor for the dead."
12,न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः ।न चैव नभविष्यामः सर्वे वयमतः परम् ॥ १२ ॥,"Neither you nor I have ever been, nor are these rulers of men. Neither shall we ever cease to exist, all of us hereafter."
13,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा ।तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति ॥ १३ ॥,"As the embodied soul continuously passes, in this body, from boyhood to youth to old age, the soul similarly passes into another body at death. A sober person is not bewildered by such a change."
14,मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः ।आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत ॥ १४ ॥,"O son of Kunti, the contact between the senses and the sense objects gives rise to fleeting perceptions of happiness and distress. These are non-permanent, and come and go. Bear them patiently, O Arjuna."
15,यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ ।समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते ॥ १५ ॥,"For the person whom these do not trouble, O best among men, who is equal in pain and pleasure, steady-minded, he is fit for immortality."
16,नासतो विद्यते भावो नाभावो विद्यते सतः ।उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः ॥ १६ ॥,"There is no existence of the unreal, nor is there non-existence of the real; the truth about both has been seen by the seers of truth."
17,अविनाशि तु तद्विद्धि येन सर्वमिदं ततम् ।विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति ॥ १७ ॥,Know that to be indestructible by which all this is pervaded. None can bring about the destruction of this immutable being.
18,अन्तवन्त इमे देहा नित्यस्योक्ताः शरीरिणः ।अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत ॥ १८ ॥,"These bodies are perishable; but the dweller in the body is eternal, indestructible, and immeasurable. Therefore, fight, O Arjuna."
19,य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम् ।उभौ तौ न विजानीतो नायं हन्ति न हन्यते ॥ १९ ॥,"One who thinks the soul kills, and one who thinks it is killed, are both ignorant. The soul kills not, nor is it killed."
20,न जायते म्रियते वा कदाचि-न्नायं भूत्वा भविता वा न भूयः ।अजो नित्यः शाश्वतोऽयं पुराणोन हन्यते हन्यमाने शरीरे ॥ २० ॥,"This self is never born, nor does it die; it did not come into being, nor will it ever cease to be. It is unborn, eternal, everlasting, and ancient; it is not slain when the body is slain."
21,वेदाविनाशिनं नित्यं य एनमजमव्ययम् ।कथं स पुरुषः पार्थ कं घातयति हन्ति कम् ॥ २१ ॥,"He who knows this to be indestructible, eternal, unborn, and inexhaustible, how can that person kill or cause anyone to kill?"
22,वासांसि जीर्णानि यथा विहायनवानि गृह्णाति नरोऽपराणि ।तथा शरीराणि विहाय जीर्णा-न्यन्यानि संयाति नवानि देही ॥ २२ ॥,"As a person discards old garments and wears new ones, likewise, the soul discards old bodies and takes on new ones."
23,नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः ।न चैनं क्ल‍ेदयन्त्यापो न शोषयति मारुतः ॥ २३ ॥,"Weapons cannot cut this soul, fire cannot burn it, water cannot wet it, and wind cannot dry it."
24,अच्छेद्योऽयमदाह्योऽयमक्ल‍ेद्योऽशोष्य एव च ।नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः ॥ २४ ॥,"This is indestructible, unburnable, and cannot be dried or wetted. It is eternal, all-pervading, unchanging, immovable, and everlasting."
25,अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते ।तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि ॥ २५ ॥,"This (self) is imperceptible, unthinkable, and unchanging. Therefore, knowing this, you should not grieve."
26,अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम् ।तथापि त्वं महाबाहो नैनं शोचितुमर्हसि ॥ २६ ॥,"Therefore, if you think that this soul is constantly born or constantly dies, even then, O mighty-armed, you should not grieve."
27,जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च ।तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि ॥ २७ ॥,"For the born, death is certain, and for the dead, birth is certain. Therefore, you should not grieve over the inevitable."
28,अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत ।अव्यक्तनिधनान्येव तत्र का परिदेवना ॥ २८ ॥,"The beings are unmanifested at their beginning, manifested in their middle, O Arjuna. What need is there lamenting about them in between? (Chapter 2, Verse 28)"
29,आश्चर्यवत्पश्यति कश्चिदेन -माश्चर्यवद्वदति तथैव चान्यः ।आश्चर्यवच्च‍ैनमन्यः श‍ृणोतिश्रुत्वाप्येनं वेद न चैव कश्चित् ॥ २९ ॥,"Someone sees it as wonderful, someone else speaks of it as wonderful, and someone hears of it as wonderful, yet no one really understands it."
30,देही नित्यमवध्योऽयं देहे सर्वस्य भारत ।तस्मात्सर्वाणि भूतानि न त्वं शोचितुमर्हसि ॥ ३० ॥,"The embodied soul is eternal and indestructible, O Arjuna; therefore, you should not grieve for any creature."
31,स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि ।धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते ॥ ३१ ॥,"Even considering your own duty, you should not waver. For a warrior, there is nothing more honorable than a war fought for a righteous cause."
32,यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम् ।सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम् ॥ ३२ ॥,"By chance, O Partha, they have gained this open gate of heaven. Happy are the Kshatriyas, O Partha, who encounter such a war."
33,अथ चेत्त्वमिमं धर्म्यं सङ्ग्रामं न करिष्यसि ।ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि ॥ ३३ ॥,"If, however, you do not perform this lawful duty of yours, then you will certainly incur sin by neglecting your duty and lose your reputation."
34,अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम् ।सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते ॥ ३४ ॥,"Even if you do not praise them, all living beings will talk about your dishonor. And for a respected person, dishonor is worse than death."
35,भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः ।येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम् ॥ ३५ ॥,"The great warriors think you will abstain from battle out of fear. What a shame it would be for you, after winning their favor."
36,अवाच्यवादांश्च बहून्वदिष्यन्ति तवाहिताः ।निन्दन्तस्तव सामर्थ्य ततो दुःखतरं नु किम् ॥ ३६ ॥,"Those who are unable to be spoken to will speak many things against you. Criticizing your ability, what could be more painful than that?"
37,हतो वा प्राप्स्यसि स्वर्ग जित्वा वा भोक्ष्यसे महीम् ।तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः ॥ ३७ ॥,"You will either attain heaven by being killed in battle or enjoy sovereignty on earth by winning. Therefore, arise, O son of Kunti, with determination for fighting."
38,सुखदुःखे समे कृत्वा लाभालाभौ जयाजयौ ।ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि ॥ ३८ ॥,"Treating happiness and distress, gain and loss, victory and defeat alike, engage in battle. Thus you will not incur sin."
39,एषा तेऽभिहिता सांख्ये बुद्धिर्योगे त्विमां श‍ृणु ।बुद्ध्या युक्तो यया पार्थ कर्मबन्धं प्रहास्यसि ॥ ३९ ॥,"This is called knowledge. Now hear how one can become fixed in this, O Partha, by practicing yoga and engaging in actions with full determination."
40,नेहाभिक्रमनाशोऽस्ति प्रत्यवायो न विद्यते ।स्वल्पमप्यस्य धर्मस्य त्रायते महतो भयात् ॥ ४० ॥,"There is no loss of effort in this world, nor is there any harm to one's progress. Even a little of this righteous path protects one from great fear."
41,व्यवसायात्मिका बुद्धिरेकेह कुरूनन्दन ।बहुशाखा ह्यनन्ताश्च बुद्धयोऽव्यवसायिनाम् ॥ ४१ ॥,"Intelligence in business is one-pointed, O Arjuna; the intelligence of those who are irresolute is many-branched and endless."
42,यामिमां पुष्पितां वाचं प्रवदन्त्यविपश्चितः ।वेदवादरताः पार्थ नान्यदस्तीति वादिनः ॥ ४२ ॥,"Those who are ignorant speak flowery words, claiming that there is nothing else. Their minds are attached to the rituals of the Vedas, O Partha."
43,कामात्मानः स्वर्गपरा जन्मकर्मफलप्रदाम् ।क्रियाविशेषबहुलां भोगैश्वर्यगतिं प्रति ॥ ४३ ॥,"Desiring heaven as the result of actions, they offer birth and karma. Enjoying the special activities, they strive for wealth and power."
44,भोगैश्वर्यप्रसक्तानां तयापहृतचेतसाम् ।व्यवसायात्मिका बुद्धिः समाधौ न विधीयते ॥ ४४ ॥,"For those attached to enjoyment and opulence, whose minds are stolen by this delusion, the resolute determination for self-realization is not established in samadhi."
45,त्रैगुण्यविषया वेदा निस्त्रैगुण्यो भवार्जुन ।निर्द्वन्द्वो नित्यसत्त्वस्थो निर्योगक्षेम आत्मवान् ॥ ४५ ॥,"The Vedas deal with the three gunas, O Arjuna. Transcend these three gunas. Be free from duality, constantly fixed in truth, and self-controlled."
46,यावानर्थ उदपाने सर्वतः सम्प्लुतोदके ।तावान्सर्वेषु वेदेषु ब्राह्मणस्य विजानतः ॥ ४६ ॥,"As a frog that lives in a well cannot fathom the vastness of the ocean, a person who is limited in knowledge cannot understand the depth of the Vedas."
47,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन ।मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि ॥ ४७ ॥,"You have a right to perform your prescribed duties, but you are not entitled to the fruits of your actions. Never consider yourself to be the cause of the results of your activities, and never be attached to not doing your duty."
48,योगस्थः कुरु कर्माणि सङ्गं त्यक्त्वा धनञ्जय ।सिद्ध्यसिद्ध्योः समो भूत्वा समत्वं योग उच्यते ॥ ४८ ॥,"Established in yoga, perform actions, having abandoned attachment, O Dhananjaya (Arjuna). Being even-minded in success and failure, it is called yoga."
