slokas_no,slokas,slokas_translated
1,अर्जुन उवाचप्रकृतिं पुरुषं चैव क्षेत्रं क्षेत्रज्ञमेव च ।एतद्वेदितुमिच्छामि ज्ञानं ज्ञेयं च केशव ॥ १ ॥,"Arjuna said: I wish to understand Prakriti (nature) and Purusha (spirit), the field and the knower of the field, as well as knowledge and that which is to be known, O Keshava."
2,श्रीभगवानुवाचइदं शरीरं कौन्तेय क्षेत्रमित्यभिधीयते ।एतद्यो वेत्ति तं प्राहु: क्षेत्रज्ञ इति तद्विद: ॥ २ ॥,"The Blessed Lord said: This body, O son of Kunti, is called the field. He who knows this is called the knower of the field by those who know."
3,क्षेत्रज्ञं चापि मां विद्धि सर्वक्षेत्रेषु भारत ।क्षेत्रक्षेत्रज्ञयोर्ज्ञानं यत्तज्ज्ञानं मतं मम ॥ ३ ॥,"Know that I am also the knower of the field in all fields, O Bharata. The knowledge of the field and the knower of the field is considered by Me to be true knowledge."
4,तत्क्षेत्रं यच्च‍ यादृक्‍च यद्विकारि यतश्च यत् ।स च यो यत्प्रभावश्च तत्समासेन मे श‍ृणु ॥ ४ ॥,"The field, what it is, what it is like, what are its modifications, from what it is, and who he is, and what his powers are, hear that from me in brief."
5,ऋषिभिर्बहुधा गीतं छन्दोभिर्विविधै: पृथक् ।ब्रह्मसूत्रपदैश्चैव हेतुमद्भ‍िर्विनिश्चितै: ॥ ५ ॥,"Sung in many ways by the sages, distinguished by various meters, and also determined by the Brahma Sutras with reasoned words."
6,महाभूतान्यहङ्कारो बुद्धिरव्यक्तमेव च ।इन्द्रियाणि दशैकं च पञ्च चेन्द्रियगोचरा: ॥ ६ ॥,"The great elements, ego, intellect, and also the unmanifest; the ten senses and the one (mind), and the five objects of the senses."
7,इच्छा द्वेष: सुखं दु:खं सङ्घातश्चेतना धृति: ।एतत्क्षेत्रं समासेन सविकारमुदाहृतम् ॥ ७ ॥,"Desire, aversion, pleasure, pain, the aggregate, consciousness, firmness—this is briefly described as the field with its modifications."
8,अमानित्वमदम्भित्वमहिंसा क्षान्तिरार्जवम् ।आचार्योपासनं शौचं स्थैर्यमात्मविनिग्रह: ॥ ८ ॥,"Humility, non-pretentiousness, non-violence, forgiveness, straightforwardness, service to the teacher, purity, steadfastness, self-control."
9,इन्द्रियार्थेषु वैराग्यमनहङ्कार एव च ।जन्ममृत्युजराव्याधिदु:खदोषानुदर्शनम् ॥ ९ ॥,"Detachment from sense objects, absence of egoism, and constant perception of the evils of birth, death, old age, and disease."
10,असक्तिरनभिष्वङ्ग: पुत्रदारगृहादिषु ।नित्यं च समचित्तत्वमिष्टानिष्टोपपत्तिषु ॥ १० ॥,"Non-attachment and absence of clinging to son, wife, home, and the like; and constant equanimity of mind in the occurrence of the desirable and the undesirable."
11,मयि चानन्ययोगेन भक्तिरव्यभिचारिणी ।विविक्तदेशसेवित्वमरतिर्जनसंसदि ॥ ११ ॥,"""And unwavering devotion to Me with exclusive yoga; inclination towards solitude and disinterest in the company of people."""
