slokas_no,slokas,slokas_translated
1,अर्जुन उवाचमदनुग्रहाय परमं गुह्यमध्यात्मसंज्ञितम् ।यत्त्वयोक्तं वचस्तेन मोहोऽयं विगतो मम ॥ १ ॥,"Arjuna said: ""O Lord, by Your grace, You have revealed to me the supreme secret, known as the inner Self. By Your words, my delusion has been dispelled."" 













"
2,भवाप्ययौ हि भूतानां श्रुतौ विस्तरशो मया ।त्वत्त: कमलपत्राक्ष माहात्म्यमपि चाव्ययम् ॥ २ ॥,"""I had heard from You in detail about the creation and dissolution of beings, and also about Your imperishable greatness, O lotus-eyed one."" 













"
3,एवमेतद्यथात्थ त्वमात्मानं परमेश्वर ।द्रष्टुमिच्छामि ते रूपमैश्वरं पुरुषोत्तम ॥ ३ ॥,"""Thus, O Lord of the universe, I have understood You as You are. Now I wish to see Your divine form, O Supreme Person."" 











"
4,मन्यसे यदि तच्छक्यं मया द्रष्टुमिति प्रभो ।योगेश्वर ततो मे त्वं दर्शयात्मानमव्ययम् ॥ ४ ॥,"""If You think it is possible for me to see Your form, O Lord, O master of Yoga, then please show me Your imperishable Self."" 











"
5,श्रीभगवानुवाचपश्य मे पार्थ रूपाणि शतशोऽथ सहस्रश: ।नानाविधानि दिव्यानि नानावर्णाकृतीनि च ॥ ५ ॥,"The Lord said: ""O Partha, behold My forms, hundreds and thousands, of diverse kinds, divine, and of many colors and shapes."" 











"
6,पश्यादित्यान्वसून्‍रुद्रानश्विनौ मरुतस्तथा ।बहून्यदृष्टपूर्वाणि पश्याश्चर्याणि भारत ॥ ६ ॥,"""See the Adityas, the Vasus, the Rudras, the Ashwins, and the Maruts. And, O descendant of Bharata, see many other wondrous things that you have never seen before."" 









"
7,इहैकस्थं जगत्कृत्स्नं पश्याद्य सचराचरम् ।मम देहे गुडाकेश यच्च‍ान्यद्‍द्रष्टुमिच्छसि ॥ ७ ॥,"""Behold this universe, O Gudakesha, all that moves and is immovable, existing in one place, in My body. And whatever else you wish to see, see it here."" 









"
8,न तु मां शक्यसे द्रष्टुमनेनैव स्वचक्षुषा ।दिव्यं ददामि ते चक्षु: पश्य मे योगमैश्वरम् ॥ ८ ॥,"""You cannot see Me with these eyes of yours. I give you divine vision. Now see My divine Yoga."" 











"
9,सञ्जय उवाचएवमुक्त्वा ततो राजन्महायोगेश्वरो हरि: ।दर्शयामास पार्थाय परमं रूपमैश्वरम् ॥ ९ ॥,"Sanjaya said: ""After speaking thus, O King, the great Lord of Yoga, Hari, showed Arjuna His supreme, divine form."" 









"
10,अनेकवक्‍त्रनयनमनेकाद्भ‍ुतदर्शनम् ।अनेकदिव्याभरणं दिव्यानेकोद्यतायुधम् ॥ १० ॥,"“With countless mouths and eyes, with countless wondrous sights, adorned with countless divine ornaments, with countless raised weapons.” 











"
11,दिव्यमाल्याम्बरधरं दिव्यगन्धानुलेपनम् ।सर्वाश्चर्यमयं देवमनन्तं विश्वतोमुखम् ॥ ११ ॥,"""Wearing divine garlands and garments, anointed with divine perfumes, a divine being, wondrous in every way, infinite and with faces everywhere.  "" 









"
12,दिवि सूर्यसहस्रस्य भवेद्युगपदुत्थिता ।यदि भा: सदृशी सा स्याद्भ‍ासस्तस्य महात्मन: ॥ १२ ॥,"""If the radiance of a thousand suns were to rise all at once, it might resemble the glory of the great-souled One."" 











"
13,तत्रैकस्थं जगत्कृत्स्नं प्रविभक्तमनेकधा ।अपश्यद्देवदेवस्य शरीरे पाण्डवस्तदा ॥ १३ ॥,"""Then, in the body of that Lord of gods, the Pandava saw the entire universe divided into many parts, as if it were all in one place.""  






"
14,तत: स विस्मयाविष्टो हृष्टरोमा धनञ्जय: ।प्रणम्य शिरसा देवं कृताञ्जलिरभाषत ॥ १४ ॥,"""Seeing this, Arjuna was filled with wonder, his hair stood on end, and, bowing his head in reverence, with folded hands, he spoke to the Lord."" 









"
15,अर्जुन उवाचपश्यामि देवांस्तव देव देहेसर्वांस्तथा भूतविशेषसङ्घान् ।ब्रह्माणमीशं कमलासनस्थ-मृषींश्च सर्वानुरगांश्च दिव्यान् ॥ १५ ॥,"Arjuna said: ""O Lord, I see all the gods in Your body, and all the assemblies of different beings. I see Brahma, Shiva, and the sages seated on lotus thrones, and all the divine snakes."" 













"
16,अनेकबाहूदरवक्‍त्रनेत्रंपश्यामि त्वां सर्वतोऽनन्तरूपम् ।नान्तं न मध्यं न पुनस्तवादिंपश्यामि विश्वेश्वर विश्वरूप ॥ १६ ॥,"""O Lord of the universe, I see you with many arms, bellies, mouths, and eyes, Your form is infinite, without beginning, middle, or end. I see you everywhere, O universal form!"" 











"
17,किरीटिनं गदिनं चक्रिणं चतेजोराशिं सर्वतो दीप्‍तिमन्तम् ।पश्यामि त्वां दुर्निरीक्ष्यं समन्ता-द्दीप्‍तानलार्कद्युतिमप्रमेयम् ॥ १७ ॥,"“I see you adorned with a crown, wielding a mace and disk, dazzling with brilliance everywhere. I see you, inconceivable, blazing with the brilliance of a million suns, impossible to behold."" 















"
18,त्वमक्षरं परमं वेदितव्यंत्वमस्य विश्वस्य परं निधानम् ।त्वमव्यय: शाश्वतधर्मगोप्‍तासनातनस्त्वं पुरुषो मतो मे ॥ १८ ॥,"""You are the imperishable, the ultimate truth to be known. You are the supreme refuge of this universe. You are the imperishable, the eternal guardian of Dharma. You are the Supreme Person, as I understand You."" 







"
19,अनादिमध्यान्तमनन्तवीर्य-मनन्तबाहुं शशिसूर्यनेत्रम् ।पश्यामि त्वां दीप्‍तहुताशवक्‍त्रंस्वतेजसा विश्वमिदं तपन्तम् ॥ १९ ॥,"“I see you, without beginning, middle, or end, with infinite energy, with infinite arms, with eyes like the sun and moon, your face blazing like a thousand suns, burning this universe with your own brilliance.” 


"
20,द्यावापृथिव्योरिदमन्तरं हिव्याप्‍तं त्वयैकेन दिशश्च सर्वा: ।दृष्ट्वाद्‍भुतं रूपमुग्रं तवेदंलोकत्रयं प्रव्यथितं महात्मन् ॥ २० ॥,"“You fill this space between heaven and earth, and every direction. O great soul, seeing your wondrous, terrible form, these three worlds are trembling.” 






"
21,अमी हि त्वां सुरसङ्घा विशन्तिकेचिद्भ‍ीता: प्राञ्जलयो गृणन्ति ।स्वस्तीत्युक्त्वा महर्षिसिद्धसङ्घा:स्तुवन्ति त्वां स्तुतिभि: पुष्कलाभि: ॥ २१ ॥,"“Some of these gods, terrified, are entering your body, bowing and praising you. The great sages and Siddhas, saying, ‘Peace! Peace!’, are praising you with abundant hymns.” 




"
22,रुद्रादित्या वसवो ये च साध्याविश्वेऽश्विनौ मरुतश्चोष्मपाश्च ।गन्धर्वयक्षासुरसिद्धसङ्घावीक्षन्ते त्वां विस्मिताश्चैव सर्वे ॥ २२ ॥,"“The Rudras, Adityas, Vasus, Sadhyas, Vishvedevas, Ashwins, Maruts, Ushmapas, Gandharvas, Yakshas, Asuras, and Siddhas, all are astonished to see you.” 









"
23,रूपं महत्ते बहुवक्‍त्रनेत्रंमहाबाहो बहुबाहूरुपादम् ।बहूदरं बहुदंष्ट्राकरालंदृष्ट्वा लोका: प्रव्यथितास्तथाहम् ॥ २३ ॥,"“Seeing your great form, with many mouths, eyes, arms, legs, bellies, and terrible fangs, I, along with the rest of the world, am terrified.” 











"
24,नभ:स्पृशं दीप्‍तमनेकवर्णंव्यात्ताननं दीप्‍तविशालनेत्रम् ।दृष्ट्वा हि त्वां प्रव्यथितान्तरात्माधृतिं न विन्दामि शमं च विष्णो ॥ २४ ॥,"""O Vishnu, seeing your form, which touches the sky, is blazing with many colors, has a wide mouth, and has bright, large eyes, my heart is trembling, and I find no courage or composure."" 











"
25,दंष्ट्राकरालानि च ते मुखानिदृष्ट्वैव कालानलसन्निभानि ।दिशो न जाने न लभे च शर्मप्रसीद देवेश जगन्निवास ॥ २५ ॥,"""Seeing your terrible mouths, which resemble the fires of death,  I don't know the directions, I find no peace. Please be merciful, O Lord, O dweller in the universe."" 











"
26,अमी च त्वां धृतराष्ट्रस्य पुत्रा:सर्वे सहैवावनिपालसङ्घै: ।भीष्मो द्रोण: सूतपुत्रस्तथासौसहास्मदीयैरपि योधमुख्यै: ॥ २६ ॥,"""All the sons of Dhritarashtra, along with the armies of kings, and Bhishma, Drona, Karna, the son of a charioteer, and all the rest of our warriors, are entering your mighty mouth."" 













"
27,वक्‍त्राणि ते त्वरमाणा विशन्तिदंष्ट्राकरालानि भयानकानि ।केचिद्विलग्न‍ा दशनान्तरेषुसन्दृश्यन्ते चूर्णितैरुत्तमाङ्गै: ॥ २७ ॥,"""They are rushing into your mouths, which are terrible, with sharp fangs. Some are seen stuck between your teeth, with their limbs crushed."" 











"
28,यथा नदीनां बहवोऽम्बुवेगा:समुद्रमेवाभिमुखा द्रवन्ति ।तथा तवामी नरलोकवीराविशन्ति वक्‍त्राण्यभिविज्‍वलन्ति ॥ २८ ॥,"“Just as many rivers rush towards the ocean with their currents, so these heroes of the human world are rushing into your blazing mouths."" 













"
29,यथा प्रदीप्‍तं ज्‍वलनं पतङ्गाविशन्ति नाशाय समृद्धवेगा: ।तथैव नाशाय विशन्ति लोका-स्तवापि वक्‍त्राणि समृद्धवेगा: ॥ २९ ॥,"“Just as moths rush into a blazing fire for their destruction, even so these beings are rushing with great speed into your mouths for their destruction.” 











"
30,लेलिह्यसे ग्रसमान: समन्ता-ल्ल‍ोकान्समग्रान्वदनैज्‍‍र्वलद्भ‍िः ।तेजोभिरापूर्य जगत्समग्रंभासस्तवोग्रा: प्रतपन्ति विष्णो ॥ ३० ॥,"“O Vishnu, you are licking up all beings with your blazing mouths. Your fierce radiance fills the entire universe.  And your effulgence is burning the whole world.” 









"
