slokas_no,slokas,slokas_translated
1,अर्जुन उवाचज्यायसी चेत्कर्मणस्ते मता बुद्धिर्जनार्दन ।तत्किं कर्मणि घोरे मां नियोजयसि केशव ॥ १ ॥,"“Arjuna questioned: My Lord! If Wisdom is above action, why do You advise me to engage in this terrible fight? "
2,व्यामिश्रेणेव वाक्येन बुद्धिं मोहयसीव मे ।तदेकं वद निश्चित्य येन श्रेयोऽहमाप्‍नुयाम् ॥ २ ॥," Your language perplexes me and confuses my reason. Therefore please tell me the only way by which I may, without doubt, secure my spiritual welfare. "
3,श्रीभगवानुवाचलोकेऽस्मिन्द्विविधा निष्ठा पुरा प्रोक्ता मयानघ ।ज्ञानयोगेन सांख्यानां कर्मयोगेन योगिनाम् ॥ ३ ॥," Lord Shri Krishna replied: In this world, as I have said, there is a twofold path, O Sinless One! There is the Path of Wisdom for those who meditate, and the Path of Action for those who work. "
4,न कर्मणामनारम्भान्नैष्कर्म्य पुरुषोऽश्न‍ुते ।न च सन्न्यसनादेव सिद्धिं समधिगच्छति ॥ ४ ॥, No man can attain freedom from activity by refraining from action; nor can he reach perfection by merely refusing to act. 
5,न हि कश्चित्क्षणमपि जातु तिष्ठत्यकर्मकृत् ।कार्यते ह्यवशः कर्म सर्वः प्रकृतिजैर्गुणैः ॥ ५ ॥," He cannot even for a moment remain really inactive, for the Qualities of Nature will compel him to act whether he will or no. "
6,कर्मेन्द्रियाणि संयम्य य आस्ते मनसा स्मरन् ।इन्द्रियार्थान्विमूढात्मा मिथ्याचारः स उच्यते ॥ ६ ॥," He who remains motionless, refusing to act, but all the while brooding over sensuous object, that deluded soul is simply a hypocrite. "
7,यस्त्विन्द्रियाणि मनसा नियम्यारभतेऽर्जुन ।कर्मेन्द्रियैः कर्मयोगमसक्तः स विशिष्यते ॥ ७ ॥," But, O Arjuna! All honour to him whose mind controls his senses, for he is thereby beginning to practise Karma-Yoga, the Path of Right Action, keeping himself always unattached. "
8,नियतं कुरु कर्म त्वं कर्म ज्यायो ह्यकर्मणः ।शरीरयात्रापि च ते न प्रसिद्ध्येदकर्मणः ॥ ८ ॥," Do your duty as prescribed, for action for duty’s sake is superior to inaction. Even the maintenance of the body would be impossible if man remained inactive. "
9,यज्ञार्थात्कर्मणोऽन्यत्र लोकोऽयं कर्मबन्धनः ।तदर्थं कर्म कौन्तेय मुक्तसङ्गः समाचर ॥ ९ ॥," In this world people are fettered by action, unless it is performed as a sacrifice. Therefore, O Arjuna, let your acts be done without attachment, as sacrifice only. "
10,सहयज्ञाः प्रजाः सृष्ट्वा पुरोवाच प्रजापतिः ।अनेन प्रसविष्यध्वमेष वोऽस्त्विष्टकामधुक् ॥ १० ॥," In the beginning, when God created all beings by the sacrifice of Himself, He said unto them: `Through sacrifice you can procreate, and it shall satisfy all your desires. "
